NAME,DATEEST,area_ha,Y2018_loss_ha,Y2019_loss_ha,Y2020_loss_ha,Y2021_loss_ha,Y2023_loss_ha,Y2024_loss_ha,Y2014_loss_ha,Y2015_loss_ha,Y2016_loss_ha,Y2017_loss_ha,Y2022_loss_ha
Kateshi,2018-06-01,125.1445592879653,0,0,1.1063257118314505,0,0,0,0,0,0,1.1570000664889812,0
Kopeka (mukungusa),2021-09-01,2494.215374911833,3.9556731247901915,3.06,1.530205496312119,3.96,4.2299999999999995,1.98,0.54,0,0.4889824345707893,2.1440058374404907,3.96
Lubanga,2020-08-25,3627.4383032160044,0,0.8880553105473518,12.519162248969078,19.62,9.99,0.09,2.52,0.6454471716284752,6.38747120506363,9.836932339668273,10.259355714702979
Lumika,2021-02-01,898.6436551836341,0,0,3.06,0,0.19068447917466982,4.616773972660303,0.701075052022934,0.17940219461917878,0,0.27,0.11861507879337295
Lwambazi,2021-10-15,7674.966785908931,44.438634437149155,25.78374202196952,23.30186904428916,50.32680048785638,76.83106880359584,42.280870096720754,17.65067082390189,8.991494452357292,14.64088979780674,53.652065454090476,52.92594297084957
Makuya,2022-08-27,6898.582806434035,62.617146678138525,75.06786201449576,38.776423046384004,90.15604820877313,26.279999999999998,45.88438907817006,29.84685997456312,27.841868467424064,95.13165443698468,130.93974210136656,29.35598754578037
Malambalala,2020-02-01,264.79022347563387,0,0,0,0,0.27,0.27,0,0,0.36,0,0
Mbete,2019-02-01,271.7355603809245,0,0,0.3911505854129791,0.8919166749715804,0,0,0.07038342297077178,0,0,0,1.960383632183075
Mnkhanya,2017-10-01,33138.081800056876,31.40020725154434,81.15466778283007,6.36474639058113,46.794340412789026,13.229999999999999,53.55946572885441,1.7185986685752868,32.73253330796957,102.9131975015699,136.47945099881034,14.434248607903719
Moono,2022-06-01,28680.46361505156,173.24550826013086,322.2781792906299,278.3372896715719,103.37928056037636,33.51694168023183,69.7214049251005,268.1855024626094,104.0802626143572,18.966560604572294,234.9524900472164,70.79446113824844
Mukubwe,2021-11-01,1325.9198793100536,1.7086309790611267,2.3469980925321576,2.403299530176446,4.638933008909225,12.581320848315954,22.08986928367987,2.45804198294878,1.1978266364336014,4.71876501403749,3.42,15.453990516813356
Mukungule menshi,2018-12-17,19474.37718262278,25.66031555123627,61.125184700335375,57.59122520215809,18.101280013206413,0,0.44999999999999996,6.569999999999999,0,19.259999999999998,14.04,0.6977214949764311
Munyambala,2022-11-01,74745.37434877273,180.40142249526454,368.5469803873359,513.338617589157,484.5968848463199,259.6239969578292,591.6235819754719,160.0871389848925,208.2765575016802,188.8597805548017,184.4864506112784,317.9925682770973
Mutimba,2021-11-01,3121.979495549011,3.7535390853881836,1.4345952066779135,0.6651114957709796,1.2289237332344054,7.8242078475506425,4.468833557367325,1.2172641116380691,2.16,3.1916848419606683,1.9852734696865082,3.8699999999999997
Mwamba,2022-04-01,5207.325987038207,12.20083373118192,12.454191758483647,17.084695496074854,20.861634865924714,59.02762157388031,106.99572044961154,4.2559983955606,2.462168881371617,12.375144594702869,16.464070111517504,53.30160902766511
Mwape,2019-08-01,31959.241204694492,0,0,0,0.14001575231552124,0.36,0,3.6650267618894574,0.5911580839287489,0,20.071379423331237,0
Mwenda chipalabwe,2020-09-01,1264.0485928907751,0,0,0,0,0.1540688097034581,0,0.7270840534754097,0.27,0.9146529480814933,0.31340459525585174,0
Mwita,2021-06-01,1561.6954295403675,3.8699999999999997,0.8099999999999999,2.25,20.512556735873222,3.2399999999999998,8.458454532623291,2.7393171447515487,4.118024205565453,12.267059692220064,46.94095179112628,1.17
Nabwalya,2022-12-30,67825.11918692314,0.27,4.586207347096642,5.318357370796329,2.52,0,0,0.09,3.06,0,0,0
Nambo,2021-11-01,27850.54813693546,518.6785114936057,193.8618388489527,261.8927793422062,478.53770137197654,525.8496619071532,461.2295789437291,230.57836053293198,293.76168642316463,151.52602360593212,455.53845370891423,431.85809643215964
Namwanja,2022-06-01,7987.642418227464,25.572712226361034,26.425829941257835,103.48055875696241,68.90177367243916,36.01314854281023,61.03401301525533,89.06196159370243,52.23512463212013,22.14,58.64721648808568,46.25177568783983
Ntambu,2022-08-24,60506.30038112058,201.2553616264512,152.08649339223192,188.03835879559745,331.1979217670104,128.59540573948993,150.5935983571212,76.39238753601909,83.55564038624274,162.15362416956603,279.33182409281017,146.62124989735443
Pawa,2017-03-01,130.61573554792696,0,0.361372796818614,0.9794671838823705,3.8535637939721346,0,0,0.99,0,0.27,0,0.26763228870928285
Sambaulye,2021-02-01,1577.935420444715,4.59,4.435093515571206,18.376551285964013,21.527995299696922,2.361234872750938,23.775337330726906,3.7653488811850546,2.9639076773822306,3.6278189411759376,2.88,1.0314301918214186
Sandwe,2019-08-01,92784.82518505628,8.39891737550497,10.934802640378475,8.19,11.329425760516896,17.68390016027726,34.29138576798141,16.142154337428508,0.210768799027428,5.190772172212601,5.378546726368367,12.047134531420888
Shakumbila,2022-06-01,26714.025585350108,42.00456924672442,150.66516633715597,37.869616157803684,19.93585275739431,3.696194331049919,88.8040281842742,95.46782475650834,77.99814201951027,6.702525774165988,43.12926024158019,7.325230428518171
Tembwe,2021-03-01,43148.22256003066,21.47005624294281,15.03,72.36471646137535,51.17295136918779,27,107.60042913319542,28.797547745313494,11.783375236932187,84.08999707460403,43.377756643295285,14.129999999999999
Teta,2021-04-01,449.0533695342779,0,0.01893151804804802,0,1.9078890860639512,1.1792700221389532,2.7915318078920244,0.72,0.36,0.18,0.99,0.6931441193819046
